year,ISO_code,Country,ECONOMIC FREEDOM,rank,quartile,1a_government_consumption,1b_transfers,1c_gov_enterprises,1d_top_marg_tax_rate,1_size_government,2a_judicial_independence,2b_impartial_courts,2c_protection_property_rights,2d_military_interference,2e_integrity_legal_system,2f_legal_enforcement_contracts,2g_restrictions_sale_real_property,2h_reliability_police,2i_business_costs_crime,2j_gender_adjustment,2_property_rights,3a_money_growth,3b_std_inflation,3c_inflation,3d_freedom_own_foreign_currency,3_sound_money,4a_tariffs,4b_regulatory_trade_barriers,4c_black_market,4d_control_movement_capital_ppl,4_trade,5a_credit_market_reg,5b_labor_market_reg,5c_business_reg,5_regulation
2015,DEU,Germany,7.67,24,1,3.979411765,3.064661083,10,5,5.511018212,7.626332953,6.804542594,8.021471272,10,8.333333333,5.828996821,6.814874361,7.238562107,6.340189278,1,7.445366969,8.84914879,9.796551541,9.953114011,10,9.649703585,8.360586579,7.55607131,10,5.76568087,7.92058469,8.333333333,7.183723746,8.0220649,7.846373993
2015,GHA,Ghana,6.52,105,3,5.229411765,9.63760218,6,7,6.966753486,5.98678112,5.044727623,5.4453125,5,4.166666667,3.716264023,8.736181591,6.144781113,5.340530336,0.975609756,5.44184396,6.792861611,9.104642943,6.57098526,5,6.867122454,7.289555556,4.521190088,10,4.246812336,6.514389495,7.385,6.639128645,6.404481817,6.809536821
2015,GRC,Greece,6.45,111,3,5.194117647,3.856036481,4,2.5,3.887538532,4.87567361,2.9686882,5.100465783,8.333333333,7.5,4.125037966,8.044201311,6.213991642,6.657296299,1,5.979854238,9.29755766,9.432885176,9.652819527,5,8.345815591,8.360586579,7.668826871,10,4.514682726,7.636024044,7.905,4.85299145,6.43609571,6.398029053
2015,GTM,Guatemala,7.69,22,1,8.567647059,9.878645923,10,9.5,9.486573245,3.892135344,3.400157266,5.54280065,6.666666667,5,3.389826813,8.330186722,2.886178891,2.297686775,0.948717949,4.482661786,9.422506546,9.573758149,9.522255934,10,9.629630157,8.600088889,6.338129278,10,7.949160557,8.221844681,9.586333333,4.05529021,6.304723717,6.64878242
2015,GIN,Guinea,5.74,141,4,9.194117647,,6,4,6.398039216,1.718736903,2.250727557,2.707965318,0.833333333,4.166666667,5.386550715,6.374388033,3.394412048,4.3487106,0.717948718,2.976011266,9.983002326,7.770724123,8.36962,5,7.780836612,7.4058,3.389766067,6.584022039,2.430524469,4.952528144,10,4.791176846,5.034413523,6.608530123
2015,GNB,Guinea-Bissau,5.58,146,4,7.182352941,,0,8.5,5.22745098,,3.3,,3.333333333,4.166666667,3.480968692,7.228227083,,,0.794871795,3.860624883,8.067517596,7.808698696,9.719078225,0,6.398823629,7.4534,5.621913234,10,1.158994874,6.058577027,8.503899046,3.462646795,7.03842483,6.334990223
2015,GUY,Guyana,6.52,105,3,6.617647059,,8,6,6.87254902,3.858248442,4.11958665,4.534600612,6.666666667,2.5,4.554788309,7.070485497,2.98569714,4.381482472,0.923076923,4.345251687,9.859327405,8.368376752,9.8086,5,8.259076039,6.4684,3.838338956,10,5.344559395,6.412824588,6.333333333,7.88433426,5.973944889,6.730537494
2015,HTI,Haiti,6.54,104,3,8.752941176,9.916893733,4,8,7.667458727,2.752065502,2.436454485,2.614759499,0,2.5,3.881900279,2.699021339,3.357061773,3.270367638,0.897435897,2.478433986,8.444652431,9.407640542,8.196696237,5,7.762247303,8.3584,6.135182161,10,6.633879114,7.781865319,8.24,8.101145435,4.70326313,7.014802855
2015,HND,Honduras,7.35,50,2,7.138235294,10,10,9,9.034558824,3.902559243,4.509699928,5.241755039,4.166666667,2.5,2.861203918,7.710562723,3.654580146,2.816240922,0.923076923,3.991802199,9.234136196,8.828810779,9.368433764,10,9.357845185,8.408977778,5.355627541,10,5.912875082,7.4193701,9.415333333,5.183167474,6.247832949,6.948777919
2015,HKG,Hong Kong,8.97,1,1,8.026470588,9.436171854,7,10,8.61566061,8.858734652,7.963357914,8.675646694,8.333333333,8.333333333,6.463383613,6.949194442,8.685418996,8.469070728,1,8.081274856,8.974180196,9.658616639,9.400998336,10,9.508448793,9.997777778,8.389591351,10,8.520978956,9.227087021,10,9.331723598,8.894683875,9.408802491
