FID,Region,country,Plant,NumReactor,Latitude,Longitude
157,Europe - Central and Eastern,ARMENIA,METSAMOR,2,40.183594,44.153421
158,Asia - Far East,JAPAN,MIHAMA,3,35.70253,135.963167
159,America - Northern,UNITED STATES OF AMERICA,MILLSTONE,3,41.3086,-72.1681
160,Europe - Central and Eastern,SLOVAK REPUBLIC,MOCHOVCE,4,48.26615,18.458943
161,Europe - Western,BELGIUM,MOL,1,51.22342,5.099126
162,Asia - Far East,JAPAN,MONJU,1,35.740278,135.988056
163,America - Northern,UNITED STATES OF AMERICA,MONTICELLO,1,45.3333,-93.8483
164,Europe - Western,SWITZERLAND,MUEHLEBERG,1,46.969029,7.26882
165,Europe - Western,GERMANY,MUELHEIM-KAERLICH,1,50.408056,7.49
166,Europe - Western,GERMANY,MZFR,1,49.104247,8.432339
167,Asia - Middle East and South,INDIA,NARORA,2,28.159867,78.408658
168,Europe - Western,GERMANY,NECKARWESTHEIM,2,49.041749,9.174601
169,Europe - Western,GERMANY,NIEDERAICHBACH,1,48.604628,12.303986
170,America - Northern,UNITED STATES OF AMERICA,NINE MILE POINT,2,43.5222,-76.41
171,Asia - Far East,CHINA,NINGDE,4,27.045,120.283333
172,Europe - Western,FRANCE,NOGENT,2,48.5172,3.52
173,America - Northern,UNITED STATES OF AMERICA,NORTH ANNA,2,38.0608,-77.7906
174,Europe - Central and Eastern,RUSSIAN FEDERATION,NOVOVORONEZH,5,51.2833,39.2167
175,Europe - Central and Eastern,RUSSIAN FEDERATION,NOVOVORONEZH-2,2,51.275,39.2
176,Europe - Central and Eastern,RUSSIAN FEDERATION,OBNINSK,1,55.084167,36.569722
177,Europe - Western,GERMANY,OBRIGHEIM,1,49.364444,9.076389
178,America - Northern,UNITED STATES OF AMERICA,OCONEE,3,34.7917,-82.8986
179,Asia - Far East,JAPAN,OHI,4,35.541057,135.653948
180,Asia - Far East,JAPAN,OHMA,1,41.509722,140.910278
181,Europe - Western,UNITED KINGDOM,OLDBURY,2,51.648671,-2.57107
182,Europe - Western,FINLAND,OLKILUOTO,3,61.236345,21.443385
183,Asia - Far East,JAPAN,ONAGAWA,3,38.4,141.5
184,Europe - Western,SWEDEN,OSKARSHAMN,3,57.414743,16.671728
185,America - Northern,UNITED STATES OF AMERICA,OYSTER CREEK,1,39.8142,-74.2064
186,Europe - Central and Eastern,HUNGARY,PAKS,4,46.5725,18.8542
187,America - Northern,UNITED STATES OF AMERICA,PALISADES,1,42.3222,-86.3153
188,America - Northern,UNITED STATES OF AMERICA,PALO VERDE,3,33.3897,-112.862
189,Europe - Western,FRANCE,PALUEL,4,49.8581,0.63306
190,America - Northern,UNITED STATES OF AMERICA,PATHFINDER,1,43.603611,-96.6375
191,America - Northern,UNITED STATES OF AMERICA,PEACH BOTTOM,3,39.7589,-76.2692
192,Europe - Western,FRANCE,PENLY,2,49.9756,1.21194
193,America - Northern,UNITED STATES OF AMERICA,PERRY,1,41.8011,-81.1433
194,Europe - Western,GERMANY,PHILIPPSBURG,2,49.25279,8.436948
195,America - Northern,CANADA,PICKERING,8,43.810436,-79.065926
196,America - Northern,UNITED STATES OF AMERICA,PILGRIM,1,41.9444,-70.5794
197,America - Northern,UNITED STATES OF AMERICA,PIQUA,1,40.132317,-84.234767
198,America - Northern,UNITED STATES OF AMERICA,POINT BEACH,2,44.2808,-87.5361
199,America - Northern,CANADA,POINT LEPREAU,1,45.068694,-66.454582
200,America - Northern,UNITED STATES OF AMERICA,PRAIRIE ISLAND,2,44.6194,-92.6331
201,Asia - Far East,CHINA,QINSHAN,9,30.435681,120.947735
202,America - Northern,UNITED STATES OF AMERICA,QUAD CITIES,2,41.7261,-90.31
203,America - Northern,UNITED STATES OF AMERICA,R.E. GINNA,1,43.277653,-77.309254
204,Asia - Middle East and South,INDIA,RAJASTHAN,8,24.872911,75.620019
205,America - Northern,UNITED STATES OF AMERICA,RANCHO SECO-1,1,38.345278,-121.121667
206,Europe - Western,GERMANY,RHEINSBERG,1,53.146992,12.99015
207,Europe - Western,SWEDEN,RINGHALS,4,57.260141,12.111538
208,America - Northern,UNITED STATES OF AMERICA,RIVER BEND,1,30.7572,-91.3317
209,America - Northern,CANADA,ROLPHTON NPD,1,46.186667,-77.657778
210,Europe - Central and Eastern,UKRAINE,ROVNO,4,51.328086,25.89903
211,Europe - Western,FRANCE,SAINT LAURENT,2,47.72,1.5775
212,America - Northern,UNITED STATES OF AMERICA,SALEM,2,39.4628,-75.5358
213,America - Northern,UNITED STATES OF AMERICA,SAN ONOFRE,3,33.3703,-117.557
214,Asia - Far East,CHINA,SANMEN,2,29.101111,121.641944
215,Europe - Western,SPAIN,SANTA MARIA DE GARONA,1,42.774412,-3.206815
216,America - Northern,UNITED STATES OF AMERICA,SAXTON,1,40.226944,-78.241944
217,America - Northern,UNITED STATES OF AMERICA,SEABROOK,1,42.8981,-70.8514
218,Europe - Western,UNITED KINGDOM,SELLAFIELD,5,54.4205,-3.4975
219,Asia - Far East,JAPAN,SENDAI,2,31.833542,130.189984
220,America - Northern,UNITED STATES OF AMERICA,SEQUOYAH,2,35.2233,-85.0878
221,America - Northern,UNITED STATES OF AMERICA,SHEARON HARRIS,1,35.6333,-78.9561
222,Asia - Far East,JAPAN,SHIKA,2,37.05999,136.726869
223,Asia - Far East,JAPAN,SHIMANE,3,35.539583,132.997495
224,Asia - Far East,"KOREA, REPUBLIC OF",SHIN-WOLSONG,2,35.721747,129.478471
225,America - Northern,UNITED STATES OF AMERICA,SHIPPINGPORT,1,40.621111,-80.435278
226,America - Northern,UNITED STATES OF AMERICA,SHOREHAM,1,40.961111,-72.865
227,Europe - Western,UNITED KINGDOM,SIZEWELL,3,52.215,1.61972
228,Europe - Central and Eastern,RUSSIAN FEDERATION,SMOLENSK,3,54.1667,33.2333
229,America - Northern,UNITED STATES OF AMERICA,SOUTH TEXAS,2,28.795,-96.0481
230,Europe - Central and Eastern,UKRAINE,SOUTH UKRAINE,3,47.812171,31.217726
231,Europe - Western,FRANCE,ST. ALBAN,2,45.405,4.75556
232,Europe - Western,FRANCE,ST. LAURENT,2,47.7203,1.57917
233,America - Northern,UNITED STATES OF AMERICA,ST. LUCIE,2,27.3486,-80.2464
234,Europe - Western,GERMANY,STADE,1,53.62,9.530833
235,America - Northern,UNITED STATES OF AMERICA,SURRY,2,37.1656,-76.6983
236,America - Northern,UNITED STATES OF AMERICA,SUSQUEHANNA,2,41.0917,-76.1486
237,Asia - Far East,CHINA,TAISHAN,2,21.917778,112.981944
238,Asia - Far East,JAPAN,TAKAHAMA,4,35.522563,135.504677
239,Asia - Middle East and South,INDIA,TARAPUR,4,19.828785,72.661201
240,Europe - Central and Eastern,CZECH REPUBLIC,TEMELIN,2,49.176113,14.3819
241,America - Northern,UNITED STATES OF AMERICA,THREE MILE ISLAND,2,40.1531,-76.725
242,Europe - Western,GERMANY,THTR,1,51.679167,7.971667
243,Asia - Far East,CHINA,TIANWAN,2,34.687468,119.459851
244,Europe - Western,BELGIUM,TIHANGE,3,50.533374,5.273377
245,Asia - Far East,JAPAN,TOKAI,2,36.466624,140.609604
246,Asia - Far East,JAPAN,TOMARI,3,43.03592,140.513203
247,Europe - Western,UNITED KINGDOM,TORNESS,2,55.968423,-2.408406
248,Europe - Western,UNITED KINGDOM,TRAWSFYNYDD,2,52.924864,-3.948439
249,Europe - Western,FRANCE,TRICASTIN,4,44.3297,4.73222
250,Europe - Western,SPAIN,TRILLO,1,40.700464,-2.623286
251,America - Northern,UNITED STATES OF AMERICA,TROJAN,1,46.038333,-122.885
252,Asia - Far East,JAPAN,TSURUGA,2,35.7497,136.021
253,America - Northern,UNITED STATES OF AMERICA,TURKEY POINT,2,25.435,-80.3314
254,Asia - Far East,"KOREA, REPUBLIC OF",ULCHIN,6,37.093025,129.383285
255,Europe - Western,GERMANY,UNTERWESER,1,53.4277,8.480197
256,Europe - Western,GERMANY,VAK KAHL,1,50.059119,8.987278
257,America - Northern,UNITED STATES OF AMERICA,VALLECITOS,1,37.613267,-121.840164
258,Europe - Western,SPAIN,VANDELLOS,2,40.950996,0.866517
259,America - Northern,UNITED STATES OF AMERICA,VERMONT YANKEE,1,42.7803,-72.5158
260,Europe - Central and Eastern,RUSSIAN FEDERATION,VILYUCHINSK,2,59.931389,30.258056
261,America - Northern,UNITED STATES OF AMERICA,VIRGIL C. SUMMER,1,34.2958,-81.3203
262,America - Northern,UNITED STATES OF AMERICA,VOGTLE,2,33.1419,-81.7647
263,Europe - Central and Eastern,RUSSIAN FEDERATION,VOLGODONSK,4,47.599342,42.371878
264,America - Northern,UNITED STATES OF AMERICA,WATERFORD,1,29.995,-90.4711
265,America - Northern,UNITED STATES OF AMERICA,WATTS BAR,2,35.6028,-84.7903
266,Europe - Western,UNITED KINGDOM,WINFRITH,1,50.682,-2.261
267,America - Northern,UNITED STATES OF AMERICA,WOLF CREEK,1,38.2389,-95.6889
268,Asia - Far East,"KOREA, REPUBLIC OF",WOLSONG,4,35.711463,129.474808
269,Europe - Western,GERMANY,WUERGASSEN (KWW),1,51.639167,9.391389
270,Europe - Western,UNITED KINGDOM,WYLFA,2,53.4167,-4.48333
271,Asia - Far East,CHINA,YANGJIANG,3,21.708333,112.261111
272,America - Northern,UNITED STATES OF AMERICA,YANKEE,1,42.727839,-72.929108
273,Asia - Far East,"KOREA, REPUBLIC OF",YONGGWANG,6,35.41113,126.41619
274,Europe - Central and Eastern,UKRAINE,ZAPOROZHE,6,47.511809,34.58546
275,America - Northern,UNITED STATES OF AMERICA,ZION,2,42.446428,-87.803003
